# MOCK DATA — NOT FROM MTA. For hackathon training only.
log_id,timestamp,line,station,severity,event_type,message,operator_id
L-000023,2026-05-18T04:11:30+00:00,L1,Falcon,ERROR,interlock.fault,Interlock fault at Falcon on L1: relay R-120 failed self-test.,OP-167
L-000024,2026-05-18T04:20:48+00:00,L1,Pioneer,INFO,train.departure,Train 2848 departed Pioneer on L1 at speed 15 km/h.,OP-390
L-000025,2026-05-18T04:22:55+00:00,L3,Pioneer,INFO,train.dwell,Train 1417 dwelled 90s at Pioneer (L3).,OP-248
L-000026,2026-05-18T04:10:50+00:00,L2,Orchard,INFO,train.departure,Train 2832 departed Orchard on L2 at speed 15 km/h.,OP-502
L-000027,2026-05-18T04:14:24+00:00,L2,Orchard,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Orchard and Keystone, limit 15 km/h.",OP-975
L-000028,2026-05-18T04:13:04+00:00,L1,Falcon,WARN,comms.jitter,Comms jitter to wayside controller WC-11 on L1: 224ms (>120ms).,OP-177
L-000029,2026-05-18T04:24:10+00:00,L3,Beacon,WARN,comms.jitter,Comms jitter to wayside controller WC-02 on L3: 114ms (>120ms).,OP-554
L-000030,2026-05-18T04:11:30+00:00,L3,Falcon,WARN,comms.jitter,Comms jitter to wayside controller WC-18 on L3: 169ms (>120ms).,OP-428
L-000031,2026-05-18T04:25:19+00:00,L1,Meridian,INFO,train.departure,Train 2267 departed Meridian on L1 at speed 60 km/h.,OP-945
L-000032,2026-05-18T04:22:24+00:00,L1,Crescent,INFO,train.dwell,Train 2530 dwelled 120s at Crescent (L1).,OP-323
L-000033,2026-05-18T04:08:15+00:00,L1,Eastgate,INFO,train.departure,Train 1196 departed Eastgate on L1 at speed 80 km/h.,OP-708
L-000034,2026-05-18T04:14:10+00:00,L2,Junction,INFO,signal.green,Signal SG-13 at Junction cleared to GREEN for L2.,OP-469
L-000035,2026-05-18T04:22:10+00:00,L1,Orchard,WARN,comms.jitter,Comms jitter to wayside controller WC-11 on L1: 181ms (>120ms).,OP-414
L-000036,2026-05-18T04:10:48+00:00,L2,Keystone,WARN,comms.jitter,Comms jitter to wayside controller WC-20 on L2: 160ms (>120ms).,OP-501
L-000037,2026-05-18T04:09:52+00:00,L3,Dune,INFO,train.dwell,Train 2645 dwelled 30s at Dune (L3).,OP-413
L-000038,2026-05-18T04:22:48+00:00,L2,Orchard,ERROR,interlock.fault,Interlock fault at Orchard on L2: relay R-198 failed self-test.,OP-779
L-000039,2026-05-18T04:33:09+00:00,L2,Iris,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Iris and Summit, limit 60 km/h.",OP-962
L-000040,2026-05-18T04:22:40+00:00,L1,Granite,INFO,signal.green,Signal SG-82 at Granite cleared to GREEN for L1.,OP-476
L-000041,2026-05-18T04:23:14+00:00,L3,Quarry,INFO,train.dwell,Train 1728 dwelled 90s at Quarry (L3).,OP-713
L-000042,2026-05-18T04:17:30+00:00,L3,Iris,INFO,train.dwell,Train 2980 dwelled 180s at Iris (L3).,OP-526
L-000043,2026-05-18T04:16:29+00:00,L3,Iris,INFO,train.departure,Train 1146 departed Iris on L3 at speed 80 km/h.,OP-689
L-000044,2026-05-18T04:15:24+00:00,L1,Keystone,WARN,comms.jitter,Comms jitter to wayside controller WC-29 on L1: 133ms (>120ms).,OP-967
L-000045,2026-05-18T04:19:30+00:00,L2,Keystone,INFO,train.departure,Train 2749 departed Keystone on L2 at speed 15 km/h.,OP-720
L-000046,2026-05-18T04:13:48+00:00,L3,Northpoint,INFO,signal.green,Signal SG-94 at Northpoint cleared to GREEN for L3.,OP-480
L-000047,2026-05-18T04:40:44+00:00,L2,Orchard,INFO,train.departure,Train 2221 departed Orchard on L2 at speed 40 km/h.,OP-327
L-000048,2026-05-18T04:23:12+00:00,L3,Orchard,INFO,signal.green,Signal SG-5 at Orchard cleared to GREEN for L3.,OP-431
L-000049,2026-05-18T04:40:01+00:00,L3,Northpoint,WARN,comms.jitter,Comms jitter to wayside controller WC-03 on L3: 164ms (>120ms).,OP-679
L-000050,2026-05-18T04:19:10+00:00,L2,Harbor,INFO,train.dwell,Train 1110 dwelled 45s at Harbor (L2).,OP-913
L-000051,2026-05-18T04:17:00+00:00,L3,Eastgate,INFO,signal.green,Signal SG-18 at Eastgate cleared to GREEN for L3.,OP-856
L-000052,2026-05-18T04:19:04+00:00,L1,Crescent,INFO,train.dwell,Train 1425 dwelled 120s at Crescent (L1).,OP-710
L-000053,2026-05-18T04:21:12+00:00,L1,Tideway,INFO,train.dwell,Train 2740 dwelled 180s at Tideway (L1).,OP-168
L-000054,2026-05-18T04:13:30+00:00,L1,Tideway,INFO,train.dwell,Train 2135 dwelled 30s at Tideway (L1).,OP-412
L-000055,2026-05-18T04:22:00+00:00,L1,Keystone,INFO,train.dwell,Train 1511 dwelled 90s at Keystone (L1).,OP-129
L-000056,2026-05-18T04:58:48+00:00,L3,Harbor,INFO,train.dwell,Train 1495 dwelled 60s at Harbor (L3).,OP-751
L-000057,2026-05-18T04:21:51+00:00,L3,Meridian,INFO,signal.green,Signal SG-65 at Meridian cleared to GREEN for L3.,OP-953
L-000058,2026-05-18T04:50:16+00:00,L1,Keystone,INFO,train.departure,Train 2208 departed Keystone on L1 at speed 40 km/h.,OP-854
L-000059,2026-05-18T04:25:34+00:00,L1,Keystone,INFO,train.dwell,Train 2009 dwelled 60s at Keystone (L1).,OP-243
L-000060,2026-05-18T04:23:00+00:00,L2,Iris,WARN,comms.jitter,Comms jitter to wayside controller WC-04 on L2: 187ms (>120ms).,OP-752
L-000061,2026-05-18T04:21:21+00:00,L1,Beacon,WARN,doors.held,Doors held open on train 2056 at Beacon for 120s (threshold 45s).,OP-463
L-000062,2026-05-18T05:03:02+00:00,L2,Crescent,INFO,train.dwell,Train 2712 dwelled 120s at Crescent (L2).,OP-948
L-000063,2026-05-18T04:25:12+00:00,L1,Meridian,INFO,train.departure,Train 2709 departed Meridian on L1 at speed 25 km/h.,OP-253
L-000064,2026-05-18T04:29:52+00:00,L2,Eastgate,INFO,train.departure,Train 1382 departed Eastgate on L2 at speed 80 km/h.,OP-735
L-000065,2026-05-18T04:54:10+00:00,L3,Eastgate,INFO,signal.green,Signal SG-22 at Eastgate cleared to GREEN for L3.,OP-274
L-000066,2026-05-18T04:31:54+00:00,L3,Iris,ERROR,axle.counter,"Axle counter AC-80 on L3 discrepancy at Iris: counted 3, expected 1.",OP-221
L-000067,2026-05-18T04:18:59+00:00,L1,Falcon,INFO,train.dwell,Train 2165 dwelled 45s at Falcon (L1).,OP-762
L-000068,2026-05-18T04:24:56+00:00,L3,Northpoint,INFO,train.departure,Train 2786 departed Northpoint on L3 at speed 40 km/h.,OP-740
L-000069,2026-05-18T05:13:36+00:00,L2,Crescent,WARN,doors.held,Doors held open on train 2331 at Crescent for 120s (threshold 45s).,OP-775
L-000070,2026-05-18T05:00:40+00:00,L1,Orchard,INFO,train.dwell,Train 2294 dwelled 90s at Orchard (L1).,OP-496
L-000071,2026-05-18T04:53:15+00:00,L3,Pioneer,INFO,train.dwell,Train 2626 dwelled 90s at Pioneer (L3).,OP-352
L-000072,2026-05-18T06:04:48+00:00,L2,Keystone,WARN,comms.jitter,Comms jitter to wayside controller WC-02 on L2: 94ms (>120ms).,OP-782
L-000073,2026-05-18T05:02:03+00:00,L2,Iris,INFO,train.dwell,Train 1221 dwelled 60s at Iris (L2).,OP-431
L-000074,2026-05-18T04:27:08+00:00,L3,Junction,ERROR,trackcircuit.shunt,Track circuit TC-155 on L3 reporting persistent shunt near Junction.,OP-532
L-000075,2026-05-18T04:18:45+00:00,L2,Junction,INFO,train.dwell,Train 1966 dwelled 30s at Junction (L2).,OP-215
L-000076,2026-05-18T04:44:20+00:00,L3,Summit,INFO,train.dwell,Train 2061 dwelled 30s at Summit (L3).,OP-541
L-000077,2026-05-18T04:23:06+00:00,L1,Quarry,INFO,train.dwell,Train 1283 dwelled 60s at Quarry (L1).,OP-309
L-000078,2026-05-18T04:35:06+00:00,L3,Granite,INFO,train.departure,Train 2486 departed Granite on L3 at speed 15 km/h.,OP-674
L-000079,2026-05-18T04:39:30+00:00,L3,Northpoint,INFO,signal.green,Signal SG-56 at Northpoint cleared to GREEN for L3.,OP-828
L-000080,2026-05-18T04:26:40+00:00,L1,Falcon,INFO,train.dwell,Train 2307 dwelled 60s at Falcon (L1).,OP-957
L-000081,2026-05-18T05:12:54+00:00,L3,Harbor,INFO,signal.green,Signal SG-10 at Harbor cleared to GREEN for L3.,OP-223
L-000082,2026-05-18T04:20:30+00:00,L3,Quarry,INFO,train.dwell,Train 1428 dwelled 90s at Quarry (L3).,OP-704
L-000083,2026-05-18T04:40:07+00:00,L3,Beacon,WARN,speed.restriction,"Temporary speed restriction issued: L3 between Beacon and Northpoint, limit 60 km/h.",OP-451
L-000084,2026-05-18T05:12:48+00:00,L1,Atlas,INFO,train.dwell,Train 2926 dwelled 30s at Atlas (L1).,OP-984
L-000085,2026-05-18T05:00:55+00:00,L1,Junction,WARN,doors.held,Doors held open on train 1454 at Junction for 45s (threshold 45s).,OP-409
L-000086,2026-05-18T04:25:48+00:00,L2,Crescent,INFO,train.departure,Train 1793 departed Crescent on L2 at speed 60 km/h.,OP-778
L-000087,2026-05-18T04:29:00+00:00,L3,Northpoint,INFO,signal.green,Signal SG-21 at Northpoint cleared to GREEN for L3.,OP-435
L-000088,2026-05-18T04:44:00+00:00,L2,Junction,ERROR,axle.counter,"Axle counter AC-13 on L2 discrepancy at Junction: counted 5, expected 1.",OP-129
L-000089,2026-05-18T04:38:34+00:00,L1,Crescent,INFO,train.dwell,Train 1509 dwelled 180s at Crescent (L1).,OP-811
L-000090,2026-05-18T04:28:30+00:00,L2,Crescent,WARN,comms.jitter,Comms jitter to wayside controller WC-22 on L2: 98ms (>120ms).,OP-969
L-000091,2026-05-18T04:25:47+00:00,L1,Lantern,ERROR,axle.counter,"Axle counter AC-61 on L1 discrepancy at Lantern: counted 3, expected 3.",OP-786
L-000092,2026-05-18T07:08:36+00:00,L2,Eastgate,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Eastgate and Rampart, limit 25 km/h.",OP-971
L-000093,2026-05-18T05:05:06+00:00,L1,Rampart,WARN,doors.held,Doors held open on train 1542 at Rampart for 60s (threshold 45s).,OP-983
L-000094,2026-05-18T04:25:04+00:00,L1,Summit,ERROR,trackcircuit.shunt,Track circuit TC-192 on L1 reporting persistent shunt near Summit.,OP-116
L-000095,2026-05-18T04:41:10+00:00,L1,Crescent,ERROR,trackcircuit.shunt,Track circuit TC-115 on L1 reporting persistent shunt near Crescent.,OP-768
L-000096,2026-05-18T05:42:24+00:00,L2,Orchard,INFO,train.dwell,Train 2410 dwelled 90s at Orchard (L2).,OP-398
L-000097,2026-05-18T05:19:13+00:00,L3,Crescent,WARN,comms.jitter,Comms jitter to wayside controller WC-09 on L3: 84ms (>120ms).,OP-500
L-000098,2026-05-18T04:55:32+00:00,L1,Junction,INFO,signal.green,Signal SG-62 at Junction cleared to GREEN for L1.,OP-219
L-000099,2026-05-18T05:39:00+00:00,L3,Quarry,INFO,train.dwell,Train 1954 dwelled 30s at Quarry (L3).,OP-282
L-000100,2026-05-18T04:26:40+00:00,L3,Beacon,WARN,comms.jitter,Comms jitter to wayside controller WC-12 on L3: 113ms (>120ms).,OP-129
L-000101,2026-05-18T08:41:07+00:00,L1,Meridian,INFO,train.departure,Train 1773 departed Meridian on L1 at speed 15 km/h.,OP-411
L-000102,2026-05-18T04:28:54+00:00,L3,Eastgate,INFO,train.dwell,Train 2882 dwelled 120s at Eastgate (L3).,OP-173
L-000103,2026-05-18T04:46:21+00:00,L3,Summit,WARN,doors.held,Doors held open on train 2001 at Summit for 180s (threshold 45s).,OP-371
L-000104,2026-05-18T06:30:48+00:00,L2,Orchard,INFO,train.dwell,Train 2407 dwelled 45s at Orchard (L2).,OP-470
L-000105,2026-05-18T04:50:45+00:00,L2,Eastgate,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Eastgate and Northpoint, limit 80 km/h.",OP-101
L-000106,2026-05-18T05:46:00+00:00,L2,Keystone,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Keystone and Granite, limit 25 km/h.",OP-948
L-000107,2026-05-18T05:14:54+00:00,L3,Rampart,ERROR,axle.counter,"Axle counter AC-6 on L3 discrepancy at Rampart: counted 1, expected 4.",OP-333
L-000108,2026-05-18T06:15:00+00:00,L3,Keystone,INFO,signal.green,Signal SG-14 at Keystone cleared to GREEN for L3.,OP-661
L-000109,2026-05-18T05:14:29+00:00,L1,Keystone,INFO,signal.green,Signal SG-1 at Keystone cleared to GREEN for L1.,OP-144
L-000110,2026-05-18T04:58:40+00:00,L3,Meridian,INFO,train.dwell,Train 1499 dwelled 180s at Meridian (L3).,OP-768
L-000111,2026-05-18T04:31:27+00:00,L2,Pioneer,INFO,train.departure,Train 2568 departed Pioneer on L2 at speed 25 km/h.,OP-183
L-000112,2026-05-18T04:42:56+00:00,L3,Iris,WARN,comms.jitter,Comms jitter to wayside controller WC-06 on L3: 244ms (>120ms).,OP-132
L-000113,2026-05-18T04:58:23+00:00,L3,Harbor,INFO,signal.green,Signal SG-17 at Harbor cleared to GREEN for L3.,OP-436
L-000114,2026-05-18T04:55:06+00:00,L2,Eastgate,INFO,train.departure,Train 1558 departed Eastgate on L2 at speed 40 km/h.,OP-887
L-000115,2026-05-18T04:30:40+00:00,L2,Summit,WARN,doors.held,Doors held open on train 2416 at Summit for 120s (threshold 45s).,OP-754
L-000116,2026-05-18T04:32:52+00:00,L3,Northpoint,INFO,train.dwell,Train 2070 dwelled 120s at Northpoint (L3).,OP-892
L-000117,2026-05-18T04:44:51+00:00,L1,Orchard,INFO,train.dwell,Train 2690 dwelled 60s at Orchard (L1).,OP-573
L-000118,2026-05-18T05:20:38+00:00,L2,Falcon,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Falcon and Iris, limit 40 km/h.",OP-806
L-000119,2026-05-18T05:11:24+00:00,L1,Pioneer,INFO,train.dwell,Train 2976 dwelled 180s at Pioneer (L1).,OP-658
L-000120,2026-05-18T05:08:00+00:00,L1,Granite,INFO,signal.green,Signal SG-68 at Granite cleared to GREEN for L1.,OP-558
L-000121,2026-05-18T04:32:16+00:00,L1,Quarry,INFO,signal.green,Signal SG-38 at Quarry cleared to GREEN for L1.,OP-664
L-000122,2026-05-18T04:46:46+00:00,L2,Quarry,ERROR,axle.counter,"Axle counter AC-50 on L2 discrepancy at Quarry: counted 8, expected 6.",OP-362
L-000123,2026-05-18T04:47:09+00:00,L2,Beacon,INFO,train.departure,Train 2247 departed Beacon on L2 at speed 80 km/h.,OP-448
L-000124,2026-05-18T04:41:20+00:00,L2,Meridian,INFO,signal.green,Signal SG-72 at Meridian cleared to GREEN for L2.,OP-187
L-000125,2026-05-18T05:15:00+00:00,L1,Rampart,INFO,train.dwell,Train 1030 dwelled 30s at Rampart (L1).,OP-115
L-000126,2026-05-18T05:07:12+00:00,L2,Summit,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Summit and Quarry, limit 60 km/h.",OP-737
L-000127,2026-05-18T04:46:34+00:00,L1,Beacon,INFO,signal.green,Signal SG-37 at Beacon cleared to GREEN for L1.,OP-526
L-000128,2026-05-18T04:55:28+00:00,L2,Crescent,WARN,doors.held,Doors held open on train 1721 at Crescent for 30s (threshold 45s).,OP-465
L-000129,2026-05-18T04:45:09+00:00,L2,Beacon,WARN,speed.restriction,"Temporary speed restriction issued: L2 between Beacon and Rampart, limit 80 km/h.",OP-496
L-000130,2026-05-18T04:45:30+00:00,L1,Atlas,INFO,train.dwell,Train 1080 dwelled 180s at Atlas (L1).,OP-937
L-000131,2026-05-18T04:39:18+00:00,L1,Pioneer,INFO,train.departure,Train 1702 departed Pioneer on L1 at speed 25 km/h.,OP-937
L-000132,2026-05-18T04:39:36+00:00,L2,Orchard,ERROR,axle.counter,"Axle counter AC-22 on L2 discrepancy at Orchard: counted 5, expected 3.",OP-115
L-000133,2026-05-18T04:46:33+00:00,L3,Crescent,INFO,train.dwell,Train 1669 dwelled 180s at Crescent (L3).,OP-791
L-000134,2026-05-18T06:18:28+00:00,L2,Northpoint,INFO,signal.green,Signal SG-75 at Northpoint cleared to GREEN for L2.,OP-279
L-000135,2026-05-18T04:38:15+00:00,L1,Falcon,INFO,signal.green,Signal SG-47 at Falcon cleared to GREEN for L1.,OP-100
L-000136,2026-05-18T05:30:40+00:00,L3,Dune,INFO,signal.green,Signal SG-59 at Dune cleared to GREEN for L3.,OP-889
L-000137,2026-05-18T05:54:10+00:00,L1,Northpoint,INFO,train.dwell,Train 1247 dwelled 120s at Northpoint (L1).,OP-408
L-000138,2026-05-18T06:06:30+00:00,L1,Tideway,INFO,signal.green,Signal SG-4 at Tideway cleared to GREEN for L1.,OP-886
L-000139,2026-05-18T05:07:11+00:00,L2,Granite,WARN,doors.held,Doors held open on train 2584 at Granite for 30s (threshold 45s).,OP-840
L-000140,2026-05-18T04:35:00+00:00,L3,Orchard,INFO,train.departure,Train 2393 departed Orchard on L3 at speed 60 km/h.,OP-493
L-000141,2026-05-18T05:41:03+00:00,L1,Atlas,INFO,train.departure,Train 1161 departed Atlas on L1 at speed 60 km/h.,OP-374
L-000142,2026-05-18T05:27:34+00:00,L2,Iris,INFO,signal.green,Signal SG-3 at Iris cleared to GREEN for L2.,OP-878
L-000143,2026-05-18T04:50:03+00:00,L1,Rampart,WARN,comms.jitter,Comms jitter to wayside controller WC-10 on L1: 83ms (>120ms).,OP-595
L-000144,2026-05-18T05:02:24+00:00,L2,Beacon,INFO,signal.green,Signal SG-37 at Beacon cleared to GREEN for L2.,OP-544
L-000145,2026-05-18T05:29:25+00:00,L2,Summit,INFO,train.dwell,Train 1937 dwelled 45s at Summit (L2).,OP-302
L-000146,2026-05-18T05:05:42+00:00,L3,Crescent,INFO,train.departure,Train 1562 departed Crescent on L3 at speed 25 km/h.,OP-737
L-000147,2026-05-18T04:46:33+00:00,L2,Atlas,INFO,train.departure,Train 1151 departed Atlas on L2 at speed 15 km/h.,OP-835
L-000148,2026-05-18T05:28:48+00:00,L1,Tideway,WARN,speed.restriction,"Temporary speed restriction issued: L1 between Tideway and Quarry, limit 40 km/h.",OP-723
L-000149,2026-05-18T07:16:11+00:00,L2,Summit,WARN,doors.held,Doors held open on train 1659 at Summit for 60s (threshold 45s).,OP-771
L-000150,2026-05-18T05:00:00+00:00,L1,Crescent,INFO,train.departure,Train 2154 departed Crescent on L1 at speed 40 km/h.,OP-458
L-000151,2026-05-18T04:57:53+00:00,L3,Quarry,INFO,signal.green,Signal SG-81 at Quarry cleared to GREEN for L3.,OP-678
L-000152,2026-05-18T04:40:32+00:00,L1,Quarry,INFO,train.dwell,Train 2640 dwelled 180s at Quarry (L1).,OP-403
L-000153,2026-05-18T05:57:18+00:00,L3,Beacon,INFO,train.departure,Train 1060 departed Beacon on L3 at speed 40 km/h.,OP-638
L-000154,2026-05-18T04:41:04+00:00,L3,Iris,INFO,train.dwell,Train 2089 dwelled 30s at Iris (L3).,OP-741
L-000155,2026-05-18T04:41:20+00:00,L3,Beacon,WARN,doors.held,Doors held open on train 1785 at Beacon for 30s (threshold 45s).,OP-675
L-000156,2026-05-18T05:36:12+00:00,L1,Tideway,INFO,signal.green,Signal SG-4 at Tideway cleared to GREEN for L1.,OP-159
L-000157,2026-05-18T05:13:16+00:00,L1,Rampart,ERROR,axle.counter,"Axle counter AC-16 on L1 discrepancy at Rampart: counted 8, expected 6.",OP-616
L-000158,2026-05-18T05:03:12+00:00,L2,Crescent,WARN,comms.jitter,Comms jitter to wayside controller WC-12 on L2: 167ms (>120ms).,OP-721
L-000159,2026-05-18T05:11:33+00:00,L3,Keystone,INFO,train.dwell,Train 1213 dwelled 60s at Keystone (L3).,OP-416
L-000160,2026-05-18T05:38:40+00:00,L1,Pioneer,INFO,signal.green,Signal SG-74 at Pioneer cleared to GREEN for L1.,OP-916
L-000161,2026-05-18T04:50:59+00:00,L1,Meridian,INFO,train.dwell,Train 1799 dwelled 90s at Meridian (L1).,OP-777
L-000162,2026-05-18T05:37:12+00:00,L3,Tideway,INFO,train.dwell,Train 1170 dwelled 45s at Tideway (L3).,OP-175
L-000163,2026-05-18T05:13:21+00:00,L3,Harbor,INFO,signal.green,Signal SG-64 at Harbor cleared to GREEN for L3.,OP-279
L-000164,2026-05-18T05:19:16+00:00,L1,Dune,INFO,train.departure,Train 2642 departed Dune on L1 at speed 80 km/h.,OP-535
L-000165,2026-05-18T05:36:15+00:00,L2,Orchard,WARN,comms.jitter,Comms jitter to wayside controller WC-21 on L2: 132ms (>120ms).,OP-560
L-000166,2026-05-18T05:00:52+00:00,L3,Beacon,INFO,train.departure,Train 1820 departed Beacon on L3 at speed 25 km/h.,OP-670
L-000167,2026-05-18T05:31:51+00:00,L2,Keystone,WARN,comms.jitter,Comms jitter to wayside controller WC-03 on L2: 194ms (>120ms).,OP-889
L-000168,2026-05-18T05:21:12+00:00,L3,Falcon,ERROR,axle.counter,"Axle counter AC-29 on L3 discrepancy at Falcon: counted 8, expected 2.",OP-224
L-000169,2026-05-18T05:38:35+00:00,L2,Atlas,INFO,signal.green,Signal SG-1 at Atlas cleared to GREEN for L2.,OP-411
L-000170,2026-05-18T05:10:50+00:00,L2,Beacon,INFO,train.departure,Train 1095 departed Beacon on L2 at speed 15 km/h.,OP-729
L-000171,2026-05-18T06:05:24+00:00,L2,Tideway,ERROR,interlock.fault,Interlock fault at Tideway on L2: relay R-171 failed self-test.,OP-967
L-000172,2026-05-18T05:00:12+00:00,L1,Falcon,INFO,train.departure,Train 1290 departed Falcon on L1 at speed 40 km/h.,OP-597
L-000173,2026-05-18T07:01:39+00:00,L2,Summit,INFO,signal.green,Signal SG-76 at Summit cleared to GREEN for L2.,OP-862
L-000174,2026-05-18T04:49:18+00:00,L3,Dune,INFO,train.departure,Train 1308 departed Dune on L3 at speed 40 km/h.,OP-236
L-000175,2026-05-18T05:53:45+00:00,L3,Beacon,INFO,train.dwell,Train 1921 dwelled 60s at Beacon (L3).,OP-102
L-000176,2026-05-18T05:54:24+00:00,L3,Meridian,INFO,train.departure,Train 2660 departed Meridian on L3 at speed 40 km/h.,OP-655
L-000177,2026-05-18T04:47:12+00:00,L2,Harbor,WARN,doors.held,Doors held open on train 1285 at Harbor for 90s (threshold 45s).,OP-380
L-000178,2026-05-18T05:37:54+00:00,L3,Quarry,INFO,signal.green,Signal SG-44 at Quarry cleared to GREEN for L3.,OP-271
L-000179,2026-05-18T05:26:31+00:00,L3,Quarry,INFO,train.departure,Train 1166 departed Quarry on L3 at speed 80 km/h.,OP-925
L-000180,2026-05-18T04:48:00+00:00,L1,Tideway,CRITICAL,power.trip,Traction power trip on L1 sector 3-B; standby supply engaged.,OP-390
L-000181,2026-05-18T06:57:59+00:00,L1,Pioneer,INFO,train.departure,Train 2372 departed Pioneer on L1 at speed 25 km/h.,OP-655
L-000182,2026-05-18T04:54:36+00:00,L2,Quarry,INFO,train.departure,Train 2968 departed Quarry on L2 at speed 15 km/h.,OP-910
L-000183,2026-05-18T05:40:39+00:00,L2,Falcon,INFO,train.dwell,Train 1351 dwelled 45s at Falcon (L2).,OP-486
L-000184,2026-05-18T04:55:12+00:00,L3,Quarry,INFO,signal.green,Signal SG-30 at Quarry cleared to GREEN for L3.,OP-327
L-000185,2026-05-18T06:03:20+00:00,L1,Iris,INFO,signal.green,Signal SG-45 at Iris cleared to GREEN for L1.,OP-977
L-000186,2026-05-18T05:42:18+00:00,L1,Dune,WARN,doors.held,Doors held open on train 2713 at Dune for 180s (threshold 45s).,OP-868
L-000187,2026-05-18T06:38:57+00:00,L2,Pioneer,INFO,signal.green,Signal SG-91 at Pioneer cleared to GREEN for L2.,OP-440
L-000188,2026-05-18T06:39:48+00:00,L2,Falcon,CRITICAL,loss.of.shunt,Loss of shunt detected on L2 at TC-237; line forced to manual block working.,OP-800
L-000189,2026-05-18T04:59:51+00:00,L2,Eastgate,INFO,signal.green,Signal SG-97 at Eastgate cleared to GREEN for L2.,OP-128
L-000190,2026-05-18T05:57:10+00:00,L2,Dune,INFO,train.dwell,Train 1981 dwelled 120s at Dune (L2).,OP-179
L-000191,2026-05-18T07:04:38+00:00,L1,Iris,INFO,signal.green,Signal SG-67 at Iris cleared to GREEN for L1.,OP-611
